Alpha,Trial,Steps,Pings
0.55,49,101,0
0.55,50,101,0
0.55,51,101,0
0.55,52,35,1
0.55,53,101,1
0.55,54,101,0
0.55,55,41,1
0.55,56,58,8
0.55,57,101,1
0.55,58,101,0
0.55,59,101,0
0.55,60,101,0
0.55,61,36,3
0.55,62,63,2
0.55,63,95,2
0.55,64,43,0
0.55,65,71,1
0.55,66,101,1
0.55,67,7,1
0.55,68,101,0
0.55,69,101,0
0.55,70,53,5
0.55,71,101,11
0.55,72,6,1
0.55,73,101,0
0.55,74,31,4
0.55,75,60,11
0.55,76,101,1
0.55,77,50,4
0.55,78,101,0
0.55,79,101,0
0.55,80,101,2
0.55,81,101,0
0.55,82,101,0
0.55,83,45,1
0.55,84,101,2
0.55,85,22,3
0.55,86,101,0
0.55,87,101,5
0.55,88,101,1
0.55,89,101,5
0.55,90,101,2
0.55,91,101,1
0.55,92,101,0
0.55,93,12,6
0.55,94,33,6
0.55,95,101,0
0.55,96,101,0
0.55,97,101,2
0.55,98,101,0
0.55,99,101,0
0.55,100,101,0
0.6,1,101,4
0.6,2,53,1
0.6,3,59,1
0.6,4,101,0
0.6,5,61,11
0.6,6,24,2
0.6,7,94,3
0.6,8,101,0
0.6,9,79,6
0.6,10,101,0
0.6,11,101,0
0.6,12,99,6
0.6,13,101,0
0.6,14,47,0
0.6,15,101,0
0.6,16,101,2
0.6,17,86,5
0.6,18,101,0
0.6,19,101,0
0.6,20,101,0
0.6,21,28,1
0.6,22,101,0
0.6,23,27,1
0.6,24,101,1
0.6,25,101,0
0.6,26,29,0
0.6,27,101,0
0.6,28,101,5
0.6,29,101,0
0.6,30,8,0
0.6,31,9,1
0.6,32,101,0
0.6,33,18,3
0.6,34,101,0
0.6,35,86,2
0.6,36,26,7
0.6,37,101,0
0.6,38,18,3
0.6,39,101,0
0.6,40,101,0
0.6,41,101,4
0.6,42,101,1
0.6,43,63,1
0.6,44,101,0
0.6,45,39,3
0.6,46,101,0
0.6,47,101,0
0.6,48,36,1
0.6,49,101,4
0.6,50,101,2
0.6,51,101,0
0.6,52,101,3
0.6,53,101,0
0.6,54,101,0
0.6,55,101,0
0.6,56,69,6
0.6,57,101,3
0.6,58,89,2
0.6,59,30,1
0.6,60,101,0
0.6,61,101,1
0.6,62,101,0
0.6,63,101,6
0.6,64,101,6
0.6,65,91,3
0.6,66,101,0
0.6,67,55,3
0.6,68,101,0
0.6,69,101,1
0.6,70,101,0
0.6,71,11,3
0.6,72,51,7
0.6,73,93,2
0.6,74,101,0
0.6,75,19,2
0.6,76,94,0
0.6,77,93,0
0.6,78,101,0
0.6,79,101,0
0.6,80,23,0
0.6,81,101,0
0.6,82,57,1
0.6,83,101,0
0.6,84,101,0
0.6,85,101,0
0.6,86,101,0
0.6,87,101,0
0.6,88,101,12
0.6,89,30,5
0.6,90,53,2
0.6,91,22,2
0.6,92,100,4
0.6,93,95,3
0.6,94,92,2
0.6,95,20,3
0.6,96,45,3
0.6,97,46,1
0.6,98,101,0
0.6,99,101,0
0.6,100,101,3
0.65,1,101,0
0.65,2,101,2
0.65,3,88,9
0.65,4,101,0
0.65,5,101,0
0.65,6,101,0
0.65,7,101,2
0.65,8,101,1
0.65,9,37,3
0.65,10,100,2
0.65,11,9,1
0.65,12,80,5
0.65,13,101,1
0.65,14,8,0
0.65,15,74,2
0.65,16,80,1
0.65,17,101,0
0.65,18,9,0
0.65,19,101,0
0.65,20,101,0
0.65,21,101,0
0.65,22,101,0
0.65,23,66,6
0.65,24,101,0
0.65,25,95,9
0.65,26,101,0
0.65,27,101,0
0.65,28,101,0
0.65,29,101,0
0.65,30,101,0
0.65,31,101,0
0.65,32,36,1
0.65,33,101,0
0.65,34,101,0
0.65,35,101,0
0.65,36,101,0
0.65,37,97,2
0.65,38,101,0
0.65,39,41,0
0.65,40,101,0
0.65,41,97,1
0.65,42,101,0
0.65,43,101,0
0.65,44,101,0
0.65,45,101,1
0.65,46,24,3
0.65,47,65,2
0.65,48,101,0
0.65,49,26,1
0.65,50,101,0
0.65,51,101,0
0.65,52,16,0
0.65,53,18,4
0.65,54,101,0
0.65,55,101,0
0.65,56,101,0
0.65,57,27,0
0.65,58,101,0
0.65,59,27,1
0.65,60,97,1
0.65,61,101,0
0.65,62,70,9
0.65,63,81,0
0.65,64,101,0
0.65,65,2,1
0.65,66,20,0
0.65,67,101,0
0.65,68,101,0
0.65,69,101,0
0.65,70,56,0
0.65,71,38,0
0.65,72,62,3
0.65,73,101,0
0.65,74,101,0
0.65,75,101,0
0.65,76,101,0
0.65,77,101,0
0.65,78,101,0
0.65,79,101,1
0.65,80,101,1
0.65,81,101,0
0.65,82,66,0
0.65,83,80,1
0.65,84,101,3
0.65,85,71,0
0.65,86,101,0
0.65,87,101,0
0.65,88,101,0
0.65,89,101,0
0.65,90,6,1
0.65,91,101,0
0.65,92,101,0
0.65,93,48,6
