Alpha,Trial,Steps,Pings
0.35,46,101,0
0.35,47,101,3
0.35,48,101,0
0.35,49,56,12
0.35,50,101,1
0.35,51,101,8
0.35,52,79,8
0.35,53,90,4
0.35,54,101,2
0.35,55,100,3
0.35,56,93,9
0.35,57,82,13
0.35,58,101,3
0.35,59,68,7
0.35,60,55,10
0.35,61,64,5
0.35,62,101,0
0.35,63,87,10
0.35,64,101,3
0.35,65,89,2
0.35,66,101,7
0.35,67,91,5
0.35,68,59,5
0.35,69,80,7
0.35,70,48,5
0.35,71,101,3
0.35,72,32,3
0.35,73,74,12
0.35,74,49,9
0.35,75,92,8
0.35,76,44,6
0.35,77,85,12
0.35,78,73,3
0.35,79,60,8
0.35,80,66,4
0.35,81,34,4
0.35,82,101,0
0.35,83,62,5
0.35,84,88,10
0.35,85,32,8
0.35,86,101,2
0.35,87,86,3
0.35,88,69,10
0.35,89,101,0
0.35,90,80,5
0.35,91,59,11
0.35,92,30,1
0.35,93,63,9
0.35,94,101,0
0.35,95,101,0
0.35,96,19,5
0.35,97,101,1
0.35,98,93,14
0.35,99,74,7
0.35,100,90,6
0.4,1,31,3
0.4,2,101,0
0.4,3,101,2
0.4,4,23,5
0.4,5,101,0
0.4,6,101,1
0.4,7,65,4
0.4,8,18,7
0.4,9,82,6
0.4,10,101,0
0.4,11,35,4
0.4,12,101,0
0.4,13,84,6
0.4,14,90,6
0.4,15,64,1
0.4,16,87,6
0.4,17,101,0
0.4,18,101,1
0.4,19,44,1
0.4,20,101,0
0.4,21,101,0
0.4,22,101,0
0.4,23,87,0
0.4,24,96,6
0.4,25,70,3
0.4,26,101,0
0.4,27,51,1
0.4,28,82,7
0.4,29,101,0
0.4,30,75,3
0.4,31,101,0
0.4,32,63,4
0.4,33,95,3
0.4,34,68,5
0.4,35,101,0
0.4,36,101,0
0.4,37,101,0
0.4,38,101,0
0.4,39,60,3
0.4,40,84,2
0.4,41,29,2
0.4,42,101,0
0.4,43,86,2
0.4,44,28,5
0.4,45,101,1
0.4,46,76,13
0.4,47,101,6
0.4,48,101,0
0.4,49,29,3
0.4,50,95,11
0.4,51,96,3
0.4,52,5,2
0.4,53,27,5
0.4,54,101,1
0.4,55,43,9
0.4,56,52,6
